id_tratta,partenza,arrivo,nazione partenza,nazione arrivo,lat_partenza,lng_partenza,lat_arrivo,lng_arrivo
MIL-TRN,Milano,Torino,Italia,Italia,45.466797,9.190498,45.07092,7.685972
PAR-TRN,Parigi,Torino,Francia,Italia,48.856506,2.352133,45.07092,7.685972
ROM-TRN,Roma,Torino,Italia,Italia,41.893344,12.483072,45.07092,7.685972
LYS-TRN,Lione,Torino,Francia,Italia,45.757598,4.832332,45.07092,7.685972
NCE-TRN,Nizza,Torino,Francia,Italia,43.700936,7.268391,45.07092,7.685972
MIL-ROM,Milano,Roma,Italia,Italia,45.466797,9.190498,41.893344,12.483072
MUC-ROM,Monaco,Roma,Germania,Italia,48.1545703,11.2616557,41.893344,12.483072
GVA-ROM,Ginevra,Roma,Svizzera,Italia,46.201756,6.146601,41.893344,12.483072
ZRH-ROM,Zurigo,Roma,Svizzera,Italia,47.368559,8.540443,41.893344,12.483072
VIE-ROM,Vienna,Roma,Austria,Italia,48.192309,16.371364,41.893344,12.483072
PAR-ROM,Parigi,Roma,Francia,Italia,48.856506,2.352133,41.893344,12.483072
TRN-ROM,Torino,Roma,Italia,Italia,45.07092,7.685972,41.893344,12.483072
BLQ-ROM,Bologna,Roma,Italia,Italia,44.493671,11.343035,41.893344,12.483072
NAP-ROM,Napoli,Roma,Italia,Italia,40.844116,14.2423,41.893344,12.483072
VCE-ROM,Venezia,Roma,Italia,Italia,45.437191,12.33459,41.893344,12.483072
MIL-PAR,Milano,Parigi,Italia,Francia,45.466797,9.190498,48.856506,2.352133
GVA-PAR,Ginevra,Parigi,Svizzera,Francia,46.201756,6.146601,48.856506,2.352133
BRU-PAR,Bruxelles,Parigi,Belgio,Francia,50.838534,4.375434,48.856506,2.352133
AMS-PAR,Amsterdam,Parigi,Paesi Bassi,Francia,52.371009,4.900112,48.856506,2.352133
BER-PAR,Berlino,Parigi,Germania,Francia,52.517037,13.38886,48.856506,2.352133
ROM-PAR,Roma,Parigi,Italia,Francia,41.893344,12.483072,48.856506,2.352133
FRA-PAR,Francoforte,Parigi,Germania,Francia,50.110653,8.682093,48.856506,2.352133
LON-PAR,Londra,Parigi,Regno Unito,Francia,51.507276,-0.12766,48.856506,2.352133
TRN-PAR,Torino,Parigi,Italia,Francia,45.07092,7.685972,48.856506,2.352133
LYS-PAR,Lione,Parigi,Francia,Francia,45.757598,4.832332,48.856506,2.352133
NCE-PAR,Nizza,Parigi,Francia,Francia,43.700936,7.268391,48.856506,2.352133
LIL-PAR,Lilla,Parigi,Francia,Francia,50.630509,3.070641,48.856506,2.352133
MIL-GVA,Milano,Ginevra,Italia,Svizzera,45.466797,9.190498,46.201756,6.146601
PAR-GVA,Parigi,Ginevra,Francia,Svizzera,48.856506,2.352133,46.201756,6.146601
ROM-GVA,Roma,Ginevra,Italia,Svizzera,41.893344,12.483072,46.201756,6.146601
LYS-GVA,Lione,Ginevra,Francia,Svizzera,45.757598,4.832332,46.201756,6.146601
NCE-GVA,Nizza,Ginevra,Francia,Svizzera,43.700936,7.268391,46.201756,6.146601
BOD-GVA,Bordeaux,Ginevra,Francia,Svizzera,44.841223,-0.580022,46.201756,6.146601
MIL-VIE,Milano,Vienna,Italia,Austria,45.466797,9.190498,48.192309,16.371364
MUC-VIE,Monaco,Vienna,Germania,Austria,48.1545703,11.2616557,48.192309,16.371364
ZRH-VIE,Zurigo,Vienna,Svizzera,Austria,47.368559,8.540443,48.192309,16.371364
PRG-VIE,Praga,Vienna,Repubblica Ceca,Austria,50.08744,14.421256,48.192309,16.371364
BUD-VIE,Budapest,Vienna,Ungheria,Austria,47.498382,19.040471,48.192309,16.371364
ZAG-VIE,Zagabria,Vienna,Austria,Austria,45.813155,15.97703,48.192309,16.371364
ROM-VIE,Roma,Vienna,Italia,Austria,41.893344,12.483072,48.192309,16.371364
WAW-VIE,Varsavia,Vienna,Polonia,Austria,52.2330269,20.7810075,48.192309,16.371364
STR-VIE,Stoccarda,Vienna,Germania,Austria,48.778493,9.180046,48.192309,16.371364
BEG-VIE,Belgrado,Vienna,Serbia,Austria,44.817879,20.456809,48.192309,16.371364
MIL-ZRH,Milano,Zurigo,Italia,Svizzera,45.466797,9.190498,47.368559,8.540443
MUC-ZRH,Monaco,Zurigo,Germania,Svizzera,48.1545703,11.2616557,47.368559,8.540443
VIE-ZRH,Vienna,Zurigo,Austria,Svizzera,48.192309,16.371364,47.368559,8.540443
ROM-ZRH,Roma,Zurigo,Italia,Svizzera,41.893344,12.483072,47.368559,8.540443
FRA-ZRH,Francoforte,Zurigo,Germania,Svizzera,50.110653,8.682093,47.368559,8.540443
STR-ZRH,Stoccarda,Zurigo,Germania,Svizzera,48.778493,9.180046,47.368559,8.540443
MIL-PRG,Milano,Praga,Italia,Repubblica Ceca,45.466797,9.190498,50.08744,14.421256
MUC-PRG,Monaco,Praga,Germania,Repubblica Ceca,48.1545703,11.2616557,50.08744,14.421256
BER-PRG,Berlino,Praga,Germania,Repubblica Ceca,52.517037,13.38886,50.08744,14.421256
BUD-PRG,Budapest,Praga,Ungheria,Repubblica Ceca,47.498382,19.040471,50.08744,14.421256
VIE-PRG,Vienna,Praga,Austria,Repubblica Ceca,48.192309,16.371364,50.08744,14.421256
FRA-PRG,Francoforte,Praga,Germania,Repubblica Ceca,50.110653,8.682093,50.08744,14.421256
WAW-PRG,Varsavia,Praga,Polonia,Repubblica Ceca,52.2330269,20.7810075,50.08744,14.421256
MIL-NAP,Milano,Napoli,Italia,Italia,45.466797,9.190498,40.844116,14.2423
ROM-NAP,Roma,Napoli,Italia,Italia,41.893344,12.483072,40.844116,14.2423
BLQ-NAP,Bologna,Napoli,Italia,Italia,44.493671,11.343035,40.844116,14.2423
MIL-LYS,Milano,Lione,Italia,Francia,45.466797,9.190498,45.757598,4.832332
GVA-LYS,Ginevra,Lione,Svizzera,Francia,46.201756,6.146601,45.757598,4.832332
ZRH-LYS,Zagabria,Lione,Croazia,Francia,45.813155,15.97703,45.757598,4.832332
PAR-LYS,Parigi,Lione,Francia,Francia,48.856506,2.352133,45.757598,4.832332
TRN-LYS,Torino,Lione,Italia,Francia,45.07092,7.685972,45.757598,4.832332
