id_tratta;prezzo;durata(mm);frequenza;footprint [kg]
AMS-BRU;25,00 €;169;4;5,9
AMS-DUS;20,86 €;129;7;7,7
AMS-FRA;46,00 €;221;1;20
AMS-HAM;40,73 €;334;11;16,7
AMS-LON;55,00 €;253;1;15,1
AMS-PAR;45,00 €;201;10;9,1
BCN-MAD;46,00 €;183;26;17,3
BCN-TLS;53,50 €;305;2;7,3
BCN-VLC;25,50 €;182;8;10,6
BER-FRA;29,30 €;251;23;14,9
BER-HAJ;20,81 €;115;32;9,9
BER-HAM;19,14 €;152;14;14,5
BER-MUC;40,50 €;305;22;21
BER-PAR;36,25 €;569;4;27,8
BER-PRG;19,40 €;260;5;16
BER-WAW;29,00 €;383;4;53,4
BLQ-MIL;36,82 €;103;61;9,1
BLQ-NAP;74,50 €;230;48;24,4
BLQ-ROM;55,01 €;145;81;15
BLQ-VCE;24,39 €;107;41;7,4
BOD-LYS;71,50 €;363;8;7,2
BOD-NCE;73,50 €;551;4;7,2
BOD-TLS;22,00 €;128;1;3,6
BRU-AMS;31,92 €;156;25;7,3
BRU-FRA;85,00 €;188;1;11,6
BRU-LIL;19,00 €;35;7;1,1
BRU-LON;57,00 €;127;3;9,2
BRU-PAR;42,29 €;83;17;3,3
BUD-PRG;20,11 €;420;9;28,3
BUD-VIE;17,86 €;170;7;8
DUS-AMS;19,00 €;138;8;11,9
DUS-BRU;45,00 €;226;1;5,3
DUS-FRA;27,83 €;101;35;8,1
DUS-HAJ;24,71 €;158;17;8,6
DUS-HAM;27,00 €;218;16;15,9
DUS-STR;33,52 €;192;21;12,5
EDI-LON;143,00 €;240;1;31,1
FRA-AMS;40,00 €;240;8;18,6
FRA-BER;29,71 €;254;24;14,7
FRA-BRU;40,43 €;188;7;11,6
FRA-DUS;27,45 €;95;40;8,1
FRA-MUC;31,63 €;216;32;10,3
FRA-PAR;40,75 €;235;4;8,9
FRA-PRG;53,50 €;496;2;26,9
FRA-STR;24,33 €;84;30;4,9
FRA-ZRH;44,29 €;246;7;9,7
GVA-LYS;29,30 €;119;10;1,1
GVA-MIL;43,00 €;241;2;8,5
GVA-PAR;53,33 €;195;6;4
GVA-ROM;138,00 €;471;2;33,7
HAJ-BER;21,50 €;112;30;9,9
HAJ-BRU;60,00 €;579;1;14,7
HAJ-DUS;23,80 €;160;20;8,6
HAJ-HAM;18,86 €;82;43;3,6
HAM-AMS;35,82 €;367;11;16,7
HAM-BER;24,71 €;158;17;14,5
HAM-BRU;59,00 €;453;1;18,3
HAM-DUS;26,00 €;221;10;11,9
HAM-HAJ;18,10 €;82;40;7,38
LIL-AMS;64,67 €;222;3;8,9
LIL-BRU;22,67 €;36;9;5,45
LIL-LON;44,00 €;87;1;13
LIL-PAR;18,40 €;69;25;4,7
LON-AMS;103,00 €;349;1;15,1
LON-BRU;65,67 €;125;3;9,2
LON-EDI;217,00 €;651;1;31,1
LON-LIL;54,33 €;85;3;13
LON-PAR;46,40 €;139;5;8,3
LYS-BOD;56,00 €;344;13;7,2
LYS-GVA;29,00 €;117;10;7,49
LYS-MIL;53,00 €;342;1;14,5
LYS-NCE;22,50 €;260;4;4,4
LYS-PAR;45,72 €;138;32;4,2
LYS-TLS;35,00 €;257;2;7
LYS-TRN;56,33 €;280;3;6,9
MAD-BCN;45,38 €;166;16;17,3
MAD-SVQ;52,73 €;155;11;14,4
MAD-VLC;37,85 €;162;13;9,4
MAN-LON;168,00 €;143;1;15,2
MIL-BLQ;40,79 €;99;67;9,1
MIL-GVA;43,00 €;274;1;16,3
MIL-LYS;58,00 €;385;3;14,5
MIL-NAP;80,40 €;315;35;34,2
MIL-PAR;49,00 €;448;3;9,7
MIL-ROM;74,41 €;219;64;24,7
MIL-TRN;23,36 €;82;14;6
MIL-ZRH;38,00 €;201;5;2,6
MUC-BER;32,00 €;313;17;21
MUC-FRA;30,25 €;223;40;10,3
MUC-MIL;62,00 €;1023;1;22,7
MUC-PRG;42,00 €;775;1;26,9
MUC-ROM;122,00 €;836;2;37,3
MUC-STR;22,36 €;137;28;9,3
MUC-VCE;49,00 €;411;1;21
MUC-VIE;27,50 €;267;8;9,9
MUC-ZAG;54,00 €;516;1;17,6
MUC-ZRH;32,67 €;243;6;16
NAP-BLQ;69,53 €;230;57;24,4
NAP-MIL;80,22 €;315;37;34,2
NAP-ROM;31,24 €;99;63;9,2
NCE-BOD;55,00 €;1143;1;7,2
NCE-LYS;31,00 €;260;5;4,4
NCE-PAR;38,00 €;364;6;7,6
PAR-AMS;44,78 €;198;9;9,1
PAR-BER;52,50 €;543;6;27,8
PAR-BRU;42,93 €;83;15;3,3
PAR-FRA;40,00 €;229;6;8,9
PAR-GVA;148,00 €;195;6;4
PAR-LIL;24,69 €;72;13;4,7
PAR-LON;48,40 €;143;5;8,3
PAR-LYS;46,76 €;126;46;4,2
PAR-MIL;45,67 €;429;3;9,7
PAR-NCE;41,33 €;362;6;7,6
PAR-ROM;130,67 €;740;3;50,4
PAR-TRN;45,67 €;341;3;19,3
PRG-BER;18,71 €;256;7;16
PRG-BUD;20,50 €;422;8;28,3
PRG-FRA;38,00 €;483;6;26,9
PRG-MUC;15,00 €;335;6;26,9
PRG-VIE;15,00 €;271;10;17,4
PRG-WAW;27,00 €;540;2;58,9
ROM-BLQ;55,57 €;144;70;15
ROM-GVA;153,00 €;514;1;33,7
ROM-MIL;76,00 €;225;60;24,7
ROM-NAP;33,78 €;98;78;9,2
ROM-TRN;75,04 €;334;25;31
ROM-VCE;67,58 €;268;19;23
ROM-VIE;36,00 €;791;2;39,1
ROM-ZRH;135,00 €;497;1;27,8
STR-DUS;29,78 €;185;18;12,5
STR-FRA;24,79 €;89;43;4,9
STR-MUC;21,67 €;135;24;9,3
STR-ZRH;27,57 €;177;7;6,9
SVQ-MAD;48,08 €;158;12;14,4
SVQ-VLC;18,00 €;397;1;32,65
TLS-BCN;58,00 €;239;2;7,3
TLS-BOD;17,60 €;127;15;3,6
TLS-LYS;35,00 €;251;2;7
TRN-LYS;58,00 €;296;3;6,9
TRN-MIL;22,96 €;82;57;6
TRN-PAR;49,00 €;359;3;19,3
TRN-ROM;76,61 €;309;28;31
VCE-BLQ;24,46 €;108;39;7,4
VCE-MUC;44,50 €;472;2;21
VCE-ROM;69,00 €;261;24;23
VIE-BUD;38,50 €;159;8;8
VIE-MUC;27,63 €;262;8;9,9
VIE-PRG;14,45 €;274;11;17,4
VIE-ROM;31,00 €;769;1;39,1
VIE-STR;50,41 €;416;17;19,8
VIE-ZRH;39,17 €;501;6;10,9
VLC-BCN;20,80 €;169;5;10,6
VLC-MAD;31,00 €;164;13;9,4
VLC-SVQ;21,00 €;435;1;32,67
WAW-BER;29,00 €;391;5;53,4
WAW-PRG;26,33 €;608;3;58,9
ZAG-MUC;45,00 €;521;1;17,6
ZRH-FRA;44,25 €;241;8;9,7
ZRH-LYS;77,43 €;338;7;3,4
ZRH-MIL;43,50 €;200;6;2,6
ZRH-MUC;51,83 €;241;6;16
ZRH-ROM;140,00 €;432;2;27,8
ZRH-STR;29,20 €;175;5;6,9
ZRH-VIE;38,33 €;495;6;10,9
