citta;durata(mm)
Amburgo;26
Amsterdam;6
Barcellona;37
Berlino;36
Bologna;29
Bordeaux;21
Bruxelles;43
Budapest;23
Dusseldorf;70
Edimburgo;141
Francoforte;10
Ginevra;11
Hannover;32
Lilla;27
Lione;33
Londra;42
Madrid;46
Manchester;46
Milano;43
Monaco;45
Napoli;36
Nizza;4
Parigi;49
Praga;39
Roma;20
Siviglia;23
Stoccarda;31
Stoccolma;42
Tolosa;37
Torino;36
Valencia;26
Varsavia;50
Venezia;45
Vienna;23
Zagabria;55
Zurigo;7
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
